Autor,Nombre,Link
Publio Siro (Siglo I AC-?) Poeta dramático romano.,Publio Siro,https://es.wikipedia.org/wiki/Publilio_Siro
Sócrates (470 AC-399 AC) Filósofo griego.,Sócrates,https://es.wikipedia.org/wiki/S%C3%B3crates
Jean Paul Sartre (1905-1980) Filósofo y escritor francés.,Jean Paul Sartre,https://es.wikipedia.org/wiki/Jean-Paul_Sartre
Benjamin Disraeli (1804-1881) Estadista ingles.,Benjamin Disraeli,https://es.wikipedia.org/wiki/Benjamin_Disraeli
Molière (1622-1673) Comediografo francés.,Molière,https://es.wikipedia.org/wiki/Moli%C3%A8re
Thomas Jefferson (1743-1826) Político Estadounidense.,Thomas Jefferson,https://es.wikipedia.org/wiki/Thomas_Jefferson
"Khalil Gibran (1883-1931) Ensayista, novelista y poeta libanés.",Khalil Gibran,https://es.wikipedia.org/wiki/Yibr%C3%A1n_Jalil_Yibr%C3%A1n
"Leonardo Da Vinci (1452-1519) Pintor, escultor e inventor italiano.",Leonardo Da Vinci,https://es.wikipedia.org/wiki/Leonardo_da_Vinci
Stendhal (1783-1842) Escritor francés.,Stendhal,https://es.wikipedia.org/wiki/Stendhal
Joseph Joubert (1754-1824) Ensayista y moralista francés.,Joseph Joubert,https://es.wikipedia.org/wiki/Joseph_Joubert
Epicteto de Frigia (55-135) Filósofo grecolatino.,Epicteto de Frigia,https://es.wikipedia.org/wiki/Epicteto
René Descartes (1596-1650) Filósofo y matemático francés.,René Descartes,https://es.wikipedia.org/wiki/Ren%C3%A9_Descartes
"Henry David Thoreau (1817-1862) Escritor, poeta y pensador.",Henry David Thoreau,https://es.wikipedia.org/wiki/Henry_David_Thoreau
Proverbio chino,Proverbio chino,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Proverbio+chino&go=Go&ns0=1&ns100=1&ns104=1
Gabriel García Márquez (1927-2014) Escritor colombiano.,Gabriel García Márquez,https://es.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez
Fénelon (1651-1715) Escritor y teólogo francés.,Fénelon,https://es.wikipedia.org/wiki/Fran%C3%A7ois_F%C3%A9nelon
Ernesto Sábato (1911-2011) Escritor argentino.,Ernesto Sábato,https://es.wikipedia.org/wiki/Ernesto_Sabato
Jules Renard (1864-1910) Escritor y dramaturgo francés.,Jules Renard,https://es.wikipedia.org/wiki/Jules_Renard
Ovidio (43 AC-17) Poeta latino.,Ovidio,https://es.wikipedia.org/wiki/Ovidio
"Bertrand Russell (1872-1970) Filósofo, matemático y escritor británico..",Bertrand Russell,https://es.wikipedia.org/wiki/Bertrand_Russell
Henry F. Amiel (1821-1881) Escritor suizo.,Henry F. Amiel,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Henry+F.+Amiel&go=Go&ns0=1&ns100=1&ns104=1
Lao-tsé (570 aC-490 aC) Filósofo chino.,Lao-tsé,https://es.wikipedia.org/wiki/Lao-Tse
Sófocles (495AC-406AC) Poeta trágico griego.,Sófocles,https://es.wikipedia.org/wiki/S%C3%B3focles
"Charles Baudelaire (1821-1867) Escritor, poeta y crítico francés.",Charles Baudelaire,https://es.wikipedia.org/wiki/Charles_Baudelaire
Pío Baroja (1872-1956) Escritor español.,Pío Baroja,https://es.wikipedia.org/wiki/P%C3%ADo_Baroja
José Martí (1853-1895) Político y escritor cubano.,José Martí,https://es.wikipedia.org/wiki/Jos%C3%A9_Mart%C3%AD
"Jean Cocteau (1889-1963) Escritor, pintor, coreógrafo.",Jean Cocteau,https://es.wikipedia.org/wiki/Jean_Cocteau
Juan Pablo II (1920-2005) Papa de la iglesia católica.,Juan Pablo II,https://es.wikipedia.org/wiki/Juan_Pablo_II
Simón Bolívar (1783-1830) Militar y político de origen venezolano.,Simón Bolívar,https://es.wikipedia.org/wiki/Sim%C3%B3n_Bol%C3%ADvar
Immanuel Kant (1724-1804) Filosofo alemán.,Immanuel Kant,https://es.wikipedia.org/wiki/Immanuel_Kant
Friedrich Schiller (1759-1805) Poeta y dramaturgo alemán,Friedrich Schiller,https://es.wikipedia.org/wiki/Friedrich_Schiller
Ambrose Bierce (1842-1914) Escritor estadounidense.,Ambrose Bierce,https://es.wikipedia.org/wiki/Ambrose_Bierce
Chamfort (1741-1794) Académico francés.,Chamfort,https://es.wikipedia.org/wiki/Nicolas_Chamfort
Santiago Ramón y Cajal (1852-1934) Médico español.,Santiago Ramón y Cajal,https://es.wikipedia.org/wiki/Santiago_Ram%C3%B3n_y_Cajal
Gustave Flaubert (1821-1880) Escritor francés.,Gustave Flaubert,https://es.wikipedia.org/wiki/Gustave_Flaubert
Pitágoras de Samos (582 AC-497 AC) Filósofo y matemático griego.,Pitágoras de Samos,https://es.wikipedia.org/wiki/Pit%C3%A1goras
Juan Luis Vives (1492-1540) Humanista y filósofo español.,Juan Luis Vives,https://es.wikipedia.org/wiki/Juan_Luis_Vives
Robert Louis Stevenson (1850-1894) Escritor británico.,Robert Louis Stevenson,https://es.wikipedia.org/wiki/Robert_Louis_Stevenson
Stanislaw Lec (1909-1966) Escritor polaco de origen judío.,Stanislaw Lec,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Stanislaw+Lec&go=Go&ns0=1&ns100=1&ns104=1
Ernest Hemingway (1899-1961) Escritor estadounidense.,Ernest Hemingway,https://es.wikipedia.org/wiki/Ernest_Hemingway
Lord Byron (1788-1824) Poeta británico.,Lord Byron,https://es.wikipedia.org/wiki/Lord_Byron
Mariano José de Larra (1809-1837) Escritor español.,Mariano José de Larra,https://es.wikipedia.org/wiki/Mariano_Jos%C3%A9_de_Larra
"Amado Nervo (1870-1919) Poeta, novelista y ensayista mexicano.",Amado Nervo,https://es.wikipedia.org/wiki/Amado_Nervo
Charles Dickens (1812-1870) Escritor y novelista inglés.,Charles Dickens,https://es.wikipedia.org/wiki/Charles_Dickens
Simone de Beauvoir (1908-1986) Novelista e intelectual francesa.,Simone de Beauvoir,https://es.wikipedia.org/wiki/Simone_de_Beauvoir
Paul Valéry (1871-1945) Escritor francés.,Paul Valéry,https://es.wikipedia.org/wiki/Paul_Val%C3%A9ry
Alfred de Musset (1810-1857) Poeta francés.,Alfred de Musset,https://es.wikipedia.org/wiki/Alfred_de_Musset
"Lope de Vega (1562-1635) Poeta, novelista y dramaturgo español.",Lope de Vega,https://es.wikipedia.org/wiki/Lope_de_Vega
Marcel Proust (1871-1922) Escritor francés.,Marcel Proust,https://es.wikipedia.org/wiki/Marcel_Proust
Mario Benedetti (1920-2009) Escritor y poeta uruguayo.,Mario Benedetti,https://es.wikipedia.org/wiki/Mario_Benedetti
Sigmund Freud (1856-1939) Médico austriaco.,Sigmund Freud,https://es.wikipedia.org/wiki/Sigmund_Freud
Henrik Johan Ibsen (1828-1906) Dramaturgo noruego.,Henrik Johan Ibsen,https://es.wikipedia.org/wiki/Henrik_Ibsen
Jean de La Fontaine (1621-1695) Escritor y poeta francés.,Jean de La Fontaine,https://es.wikipedia.org/wiki/Jean_de_La_Fontaine
Tácito (55-115) Historiador romano.,Tácito,https://es.wikipedia.org/wiki/T%C3%A1cito
Gregorio Marañón (1887-1960) Médico y escritor español.,Gregorio Marañón,https://es.wikipedia.org/wiki/Gregorio_Mara%C3%B1%C3%B3n
Arthur Miller (1915-2005) Dramaturgo estadounidense.,Arthur Miller,https://es.wikipedia.org/wiki/Arthur_Miller
George Orwell (1903-1950) Escritor británico.,George Orwell,https://es.wikipedia.org/wiki/George_Orwell
Alejandro Dumas (1802-1870) Escritor francés.,Alejandro Dumas,https://es.wikipedia.org/wiki/Alejandro_Dumas
John Ruskin (1819-1900) Crítico y escritor británico.,John Ruskin,https://es.wikipedia.org/wiki/John_Ruskin
Heráclito de Efeso (540 AC-470 AC) Filósofo griego.,Heráclito de Efeso,https://es.wikipedia.org/wiki/Her%C3%A1clito
Pedro Calderón de la Barca (1600-1681) Dramaturgo y poeta español.,Pedro Calderón de la Barca,https://es.wikipedia.org/wiki/Pedro_Calder%C3%B3n_de_la_Barca
Madre Teresa de Calcuta (1910-1997) Misionera de origen albanés naturalizada india,Madre Teresa de Calcuta,https://es.wikipedia.org/wiki/Teresa_de_Calcuta
Martin Luther King (1929-1968) Religioso estadounidense.,Martin Luther King,https://es.wikipedia.org/wiki/Martin_Luther_King
"Hermann Hesse (1877-1962) Escritor suizo, de origen alemán.",Hermann Hesse,https://es.wikipedia.org/wiki/Hermann_Hesse
René de Chateaubriand (1768-1848) Diplomático y escritor francés.,René de Chateaubriand,https://es.wikipedia.org/wiki/Fran%C3%A7ois-Ren%C3%A9_de_Chateaubriand
Jaime Luciano Balmes (1810-1848) Filósofo y sacerdote español.,Jaime Luciano Balmes,https://es.wikipedia.org/wiki/Jaime_Balmes
John Fitzgerald Kennedy (1917-1963) Político estadounidense.,John Fitzgerald Kennedy,https://es.wikipedia.org/wiki/John_F._Kennedy
Graham Greene (1904-1991) Novelista británico.,Graham Greene,https://es.wikipedia.org/wiki/Graham_Greene
Proverbio árabe,Proverbio árabe,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Proverbio+%C3%A1rabe&go=Go&ns0=1&ns100=1&ns104=1
Thomas Fuller (1610-1661) Clérigo y escritor británico.,Thomas Fuller,https://es.wikipedia.org/wiki/Thomas_Fuller
Thomas Hobbes (1588-1679) Filósofo y tratadista político inglés.,Thomas Hobbes,https://es.wikipedia.org/wiki/Thomas_Hobbes
Samuel Johnson (1709-1784) Escritor inglés.,Samuel Johnson,https://es.wikipedia.org/wiki/Samuel_Johnson
Juvenal (67-127) Poeta satírico romano.,Juvenal,https://es.wikipedia.org/wiki/Juvenal
Georg Christoph Lichtenberg (1742-1799) Profesor de física y científico alemán.,Georg Christoph Lichtenberg,https://es.wikipedia.org/wiki/Georg_Christoph_Lichtenberg
Edgar Allan Poe (1809-1849) Escritor estadounidense.,Edgar Allan Poe,https://es.wikipedia.org/wiki/Edgar_Allan_Poe
"Antonio Gala (1930-?) Dramaturgo, poeta y novelista español.",Antonio Gala,https://es.wikipedia.org/wiki/Antonio_Gala
Jonathan Swift (1667-1745) Político y escritor irlandés.,Jonathan Swift,https://es.wikipedia.org/wiki/Jonathan_Swift
Fiodor Dostoievski (1821-1881) Novelista ruso.,Fiodor Dostoievski,https://es.wikipedia.org/wiki/Fi%C3%B3dor_Dostoyevski
Santa Teresa de Jesús (1515-1582) Escritora mística española.,Santa Teresa de Jesús,https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs
Carlos Fuentes (1929-2012) Periodista y escritor mexicano.,Carlos Fuentes,https://es.wikipedia.org/wiki/Carlos_Fuentes
Friedrich Hebbel (1813-1863) Poeta y dramaturgo alemán.,Friedrich Hebbel,https://es.wikipedia.org/wiki/Friedrich_Hebbel
Plutarco (50-125) Escritor griego.,Plutarco,https://es.wikipedia.org/wiki/Plutarco
William Somerset Maugham (1874-1965) Escritor británico.,William Somerset Maugham,https://es.wikipedia.org/wiki/W._Somerset_Maugham
Denis Diderot (1713-1784) Escritor francés.,Denis Diderot,https://es.wikipedia.org/wiki/Denis_Diderot
José Saramago (1922-2010) Escritor portugués.,José Saramago,https://es.wikipedia.org/wiki/Jos%C3%A9_Saramago
Paulo Coelho (1947-?) Escritor brasileño.,Paulo Coelho,https://es.wikipedia.org/wiki/Paulo_Coelho
Octavio Paz (1914-1998) Poeta y ensayista mexicano.,Octavio Paz,https://es.wikipedia.org/wiki/Octavio_Paz
Federico García Lorca (1898-1936) Poeta y dramaturgo español.,Federico García Lorca,https://es.wikipedia.org/wiki/Federico_Garc%C3%ADa_Lorca
Henry Ford (1863-1947) Industrial estadounidense.,Henry Ford,https://es.wikipedia.org/wiki/Henry_Ford
Alexander Pope (1688-1744) Poeta inglés.,Alexander Pope,https://es.wikipedia.org/wiki/Alexander_Pope
George Herbert (1593-1633) Poeta religioso inglés.,George Herbert,https://es.wikipedia.org/wiki/George_Herbert
"Nicolás Maquiavelo (1469-1527) Historiador, político y teórico italiano.",Nicolás Maquiavelo,https://es.wikipedia.org/wiki/Nicol%C3%A1s_Maquiavelo
Camilo José Cela (1916-2002) Escritor español.,Camilo José Cela,https://es.wikipedia.org/wiki/Camilo_Jos%C3%A9_Cela
Pablo Picasso (1881-1973) Pintor español.,Pablo Picasso,https://es.wikipedia.org/wiki/Pablo_Picasso
Pierre Corneille (1606-1684) Poeta y dramaturgo francés.,Pierre Corneille,https://es.wikipedia.org/wiki/Pierre_Corneille
Elbert Hubbard (1856-1915) Ensayista estadounidense.,Elbert Hubbard,https://es.wikipedia.org/wiki/Elbert_Hubbard
Pablo Neruda (1904-1973) Poeta chileno.,Pablo Neruda,https://es.wikipedia.org/wiki/Pablo_Neruda
Joseph Conrad (1857-1924) Novelista británico de origen polaco.,Joseph Conrad,https://es.wikipedia.org/wiki/Joseph_Conrad
Clive Staples Lewis (1898-1963) Escritor británico.,Clive Staples Lewis,https://es.wikipedia.org/wiki/C._S._Lewis
Gustave Le Bon (1841-1931) Psicólogo francés.,Gustave Le Bon,https://es.wikipedia.org/wiki/Gustave_Le_Bon
Alphonse Karr (1808-1890) Escritor francés.,Alphonse Karr,https://es.wikipedia.org/wiki/Jean-Baptiste_Alphonse_Karr
Franz Kafka (1883-1924) Escritor checoslovaco.,Franz Kafka,https://es.wikipedia.org/wiki/Franz_Kafka
Homero (VIII AC-VIII AC) Poeta y rapsoda griego.,Homero,https://es.wikipedia.org/wiki/Homero
Jaume Perich (1941-1995) Humorista español.,Jaume Perich,https://es.wikipedia.org/wiki/El_Perich
Fernando Pessoa (1888-1935) Poeta portugués.,Fernando Pessoa,https://es.wikipedia.org/wiki/Fernando_Pessoa
François Mauriac (1905-1970) Escritor francés.,François Mauriac,https://es.wikipedia.org/wiki/Fran%C3%A7ois_Mauriac
José Ingenieros (1877-1925) Filósofo y psicólogo argentino.,José Ingenieros,https://es.wikipedia.org/wiki/Jos%C3%A9_Ingenieros
Henry-Louis Mencken (1880-1956) Periodista y escritor estadounidense.,Henry-Louis Mencken,https://es.wikipedia.org/wiki/H._L._Mencken
André Malraux (1901-1976) Novelista y político francés.,André Malraux,https://es.wikipedia.org/wiki/Andr%C3%A9_Malraux
Giovanni Papini (1881-1956) Escritor italiano.,Giovanni Papini,https://es.wikipedia.org/wiki/Giovanni_Papini
Maurice Maeterlinck (1862-1949) Escritor belga.,Maurice Maeterlinck,https://es.wikipedia.org/wiki/Maurice_Maeterlinck
Karl Marx (1818-1883) Filósofo y economista alemán.,Karl Marx,https://es.wikipedia.org/wiki/Karl_Marx
Erasmo de Rotterdam (1469-1536) Humanista neerlandés.,Erasmo de Rotterdam,https://es.wikipedia.org/wiki/Erasmo_de_R%C3%B3terdam
Edmund Burke (1729-1797) Político y escritor irlandés.,Edmund Burke,https://es.wikipedia.org/wiki/Edmund_Burke
George Eliot (1819-1880) Seudónimo de Mary Anne Evans. Novelista británica.,George Eliot,https://es.wikipedia.org/wiki/George_Eliot
Alejandro Casona (1903-1965) Dramaturgo español.,Alejandro Casona,https://es.wikipedia.org/wiki/Alejandro_Casona
Cesare Pavese (1908-1950) Poeta y novelista italiano.,Cesare Pavese,https://es.wikipedia.org/wiki/Cesare_Pavese
William Hazlitt (1778-1830) Literato ingles.,William Hazlitt,https://es.wikipedia.org/wiki/William_Hazlitt
Erich Fromm (1900-1980) Psicologo social de estadounidense.,Erich Fromm,https://es.wikipedia.org/wiki/Erich_Fromm
Epicuro de Samos (341 AC-270 AC) Filósofo griego.,Epicuro de Samos,https://es.wikipedia.org/wiki/Epicuro
Georges Clemenceau (1841-1929) Político y periodista francés.,Georges Clemenceau,https://es.wikipedia.org/wiki/Georges_Clemenceau
William Faulkner (1897-1962) Escritor estadounidense.,William Faulkner,https://es.wikipedia.org/wiki/William_Faulkner
Sören Aabye Kierkegaard (1813-1855) Literato y filósofo danés.,Sören Aabye Kierkegaard,https://es.wikipedia.org/wiki/S%C3%B8ren_Kierkegaard
"Alphonse de Lamartine (1790-1869) Historiador, político y poeta francés.",Alphonse de Lamartine,https://es.wikipedia.org/wiki/Alphonse_de_Lamartine
Giacomo Leopardi (1798-1837) Poeta y erudito italiano.,Giacomo Leopardi,https://es.wikipedia.org/wiki/Giacomo_Leopardi
André Gide (1859-1951) Escritor francés,André Gide,https://es.wikipedia.org/wiki/Andr%C3%A9_Gide
John Stuart Mill (1806-1873) Filósofo y economista inglés.,John Stuart Mill,https://es.wikipedia.org/wiki/John_Stuart_Mill
Bertolt Brecht (1898-1956) Dramaturgo y poeta alemán.,Bertolt Brecht,https://es.wikipedia.org/wiki/Bertolt_Brecht
Isaac Asimov (1920-1992) Escritor y bioquímico estadounidense.,Isaac Asimov,https://es.wikipedia.org/wiki/Isaac_Asimov
Heinrich Heine (1797-1856) Poeta alemán.,Heinrich Heine,https://es.wikipedia.org/wiki/Heinrich_Heine
José Luis Sampedro (1917-2013) Escritor y economista español.,José Luis Sampedro,https://es.wikipedia.org/wiki/Jos%C3%A9_Luis_Sampedro
Ray Bradbury (1920-2012) Escritor estadounidense.,Ray Bradbury,https://es.wikipedia.org/wiki/Ray_Bradbury
Françoise Sagan (1935-2004) Escritora francesa.,Françoise Sagan,https://es.wikipedia.org/wiki/Fran%C3%A7oise_Sagan
Marguerite Yourcenar (1903-1987) Escritora francesa.,Marguerite Yourcenar,https://es.wikipedia.org/wiki/Marguerite_Yourcenar
Nicolas Boileau (1636-1711) Poeta y crítico literario francés.,Nicolas Boileau,https://es.wikipedia.org/wiki/Nicol%C3%A1s_Boileau
Germaine de Staël (1766-1817) Escritora e intelectual francesa.,Germaine de Staël,https://es.wikipedia.org/wiki/Anne-Louise_Germaine_Necker
Otto von Bismark (1815-1898) Político alemán.,Otto von Bismark,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Otto+von+Bismark&go=Go&ns0=1&ns100=1&ns104=1
Robert Frost (1874-1963) Poeta estadounidense.,Robert Frost,https://es.wikipedia.org/wiki/Robert_Frost
"Sacha Guitry (1885-1957) Director, actor y guionista francés.",Sacha Guitry,https://es.wikipedia.org/wiki/Sacha_Guitry
Oliver Wendell Holmes (1809-1894) Poeta y médico estadounidense.,Oliver Wendell Holmes,https://es.wikipedia.org/wiki/Oliver_Wendell_Holmes
Dante Alighieri (1265-1321) Escritor y filósofo italiano.,Dante Alighieri,https://es.wikipedia.org/wiki/Dante_Alighieri
Rudyard Kipling (1865-1936) Novelista británico.,Rudyard Kipling,https://es.wikipedia.org/wiki/Rudyard_Kipling
Francis Scott Fitzgerald (1896-1940) Escritor estadounidense.,Francis Scott Fitzgerald,https://es.wikipedia.org/wiki/F._Scott_Fitzgerald
Ramón Gómez de la Serna (1891-1963) Escritor español. Autor de Greguerías.,Ramón Gómez de la Serna,https://es.wikipedia.org/wiki/Ram%C3%B3n_G%C3%B3mez_de_la_Serna
Hesíodo (Siglo VII AC-Siglo VI AC) Poeta griego.,Hesíodo,https://es.wikipedia.org/wiki/Hes%C3%ADodo
Julio Cortázar (1914-1984) Escritor argentino.,Julio Cortázar,https://es.wikipedia.org/wiki/Julio_Cort%C3%A1zar
Francesco Petrarca (1304-1374) Poeta italiano.,Francesco Petrarca,https://es.wikipedia.org/wiki/Petrarca
Novalis (1772-1801) Friedrich von Hardenberg. Poeta y filósofo alemán.,Novalis,https://es.wikipedia.org/wiki/Novalis
Gustavo Adolfo Bécquer (1836-1870) Poeta español.,Gustavo Adolfo Bécquer,https://es.wikipedia.org/wiki/Gustavo_Adolfo_B%C3%A9cquer
Buda (563 AC-486 AC) Fundador del budismo.,Buda,https://es.wikipedia.org/wiki/Buda_Gautama
Conde de Chesterfield (1694-1773) Político y escritor inglés.,Conde de Chesterfield,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Conde+de+Chesterfield&go=Go&ns0=1&ns100=1&ns104=1
Marqués de Vauvenargues (1715-1747) Moralista francés.,Marqués de Vauvenargues,https://es.wikipedia.org/wiki/Luc_de_Clapiers
Jacques Benigne Bossuet (1627-1704) Clérigo católico francés y escritor.,Jacques Benigne Bossuet,https://es.wikipedia.org/wiki/Jacques-B%C3%A9nigne_Bossuet
Conde de Rivarol (1753-1801) Escritor francés.,Conde de Rivarol,https://es.wikipedia.org/w/index.php?title=Especial:Buscar&search=Conde+de+Rivarol&go=Go&ns0=1&ns100=1&ns104=1
Giuseppe Mazzini (1805-1872) Político italiano.,Giuseppe Mazzini,https://es.wikipedia.org/wiki/Giuseppe_Mazzini
"Ángel Ganivet (1865-1898) Escritor, ensayista y narrador español.",Ángel Ganivet,https://es.wikipedia.org/wiki/%C3%81ngel_Ganivet
